BirthYear,Sex,LicenseYear,CarBrand,CarType,CarYear,CarEngine,EngineCap,CarValue,AssistanceYears,Accidents,NextAccident
1978,1,17.1598,8,4,2013,1952,130,43100,9.4962,0,1
1994,1,5.6644,1,3,2003,1376,147,31700,4.2483,0,1
1993,0,4.998,8,2,2013,1436,103,77700,2.7489,0,0
1963,1,8.5799,5,2,2006,1368,111,30850,7.497,0,0
1961,1,9.8294,3,2,2010,2044,130,54750,2.499,0,0
1991,1,8.8298,1,1,2008,2060,160,31450,6.9139,2,0
1985,0,5.4978,6,4,2011,1886,119,43600,2.3324,1,0
1964,1,6.3308,4,3,2004,1766,289,34750,4.8314,0,1
1960,0,24.5735,3,3,2012,1426,95,58600,7.3304,1,0
1987,1,5.0813,1,3,2009,1538,125,59050,2.7489,2,0
1995,1,4.8314,1,1,2011,1812,163,46800,2.7489,0,0
1969,1,26.0729,4,2,2012,1374,103,48800,11.7453,1,0
1983,1,10.9123,2,3,2012,1348,124,67900,0.5831,2,0
1974,1,23.5739,8,2,2009,1138,92,59650,15.6604,1,0
1989,1,7.3304,2,3,2012,1208,107,50950,1.4161,0,0
1984,0,13.4113,5,2,2001,1668,153,36050,9.4962,1,0
1953,0,17.3264,1,3,2006,1386,99,36350,9.6628,0,0
1993,0,8.4966,1,1,2012,1824,113,57350,2.2491,1,0
1967,1,25.3232,3,3,2011,1556,140,58550,15.0773,0,0
1974,1,20.1586,3,3,2012,1332,114,53700,10.7457,1,0
1967,0,18.6592,1,4,2011,1696,174,42750,9.4129,1,0
1960,0,34.4029,2,2,2009,1388,128,48050,33.9031,0,0
1990,0,5.3312,9,3,2011,1550,109,49900,4.998,2,0
1965,0,4.165,2,1,2008,1758,196,31750,2.7489,1,1
1994,1,3.7485,1,1,2012,1826,209,59500,2.9155,1,0
1956,1,27.9888,4,2,2009,1112,102,51500,20.1586,1,0
1992,0,8.4966,8,1,2009,1820,207,70650,3.9151,0,0
1988,1,6.8306,3,2,2013,1412,100,62500,3.4153,0,0
1987,1,3.9984,2,1,2013,2112,196,54850,0.9163,4,0
1985,1,6.4974,4,3,2010,1308,113,59250,5.9976,2,0
1965,1,17.1598,1,2,2012,1390,93,51400,5.5811,0,0
1993,1,6.0809,9,3,2011,1170,84,69050,0.4998,1,0
1976,0,7.497,7,2,2011,1136,101,67800,2.0825,2,0
1970,1,25.6564,3,3,2007,1260,148,32400,15.827,2,1
1970,1,8.9964,5,2,2004,1402,122,31400,6.9972,0,1
1989,0,8.9964,2,1,2001,1926,111,34450,4.0817,3,0
1973,1,5.9143,9,2,2006,1826,143,30100,4.165,0,1
1986,0,7.7469,2,1,2008,2348,121,32200,0.7497,1,0
1988,0,6.8306,9,3,2010,1722,114,60350,4.3316,0,0
1960,1,31.2375,5,3,2012,1128,101,51500,5.9976,1,0
1992,1,3.6652,2,1,2010,1966,211,56150,1.8326,0,0
1988,1,11.4121,5,2,2012,1346,103,50300,8.5799,1,0
1977,1,8.1634,1,2,2009,1256,117,50650,0,0,0
1981,1,13.5779,2,3,2013,1472,119,79400,7.6636,0,0
1977,1,10.9123,2,2,2004,1134,96,37850,3.332,1,1
1981,0,13.2447,4,3,2011,1206,131,69800,8.5799,0,0
1982,1,6.7473,9,3,2008,1428,127,35350,2.499,1,0
1991,1,5.831,5,1,2011,1948,135,68300,2.4157,3,0
1984,1,9.163,8,2,2006,1720,157,32550,4.5815,0,1
1964,0,16.9099,2,1,2013,1704,133,50950,4.3316,2,0
1988,1,11.1622,6,3,2008,1214,98,34350,5.7477,1,0
1976,1,18.5759,8,3,2012,1514,115,51050,9.4962,3,0
1956,1,19.6588,9,3,2003,1686,145,31250,2.0825,1,0
1961,1,18.2427,5,2,2006,1918,204,34450,6.7473,1,0
1981,0,17.4097,1,2,2012,1626,200,53400,12.7449,1,0
1982,0,13.0781,1,1,2008,1934,243,32100,6.4974,0,0
1979,1,11.4121,9,4,2011,1614,119,71800,6.2475,0,0
1975,1,19.9087,8,3,2013,1288,99,42300,11.8286,0,1
1962,1,4.8314,7,1,2007,1934,205,30450,2.7489,0,1
1961,1,23.9071,3,3,2011,1826,134,53450,10.0793,1,1
1966,0,6.9139,3,3,2013,1572,133,50100,3.4153,1,0
1985,0,13.9944,4,2,2010,1668,204,54600,12.1618,0,1
1980,1,10.4958,3,3,2007,1694,220,36200,9.163,2,1
1990,1,7.1638,2,1,2008,1940,148,36700,3.4986,2,0
1965,1,19.7421,8,2,2009,1406,94,49950,13.7445,1,0
1992,1,3.5819,4,4,2011,1870,182,63650,2.3324,2,0
1995,1,1.4994,5,3,2009,1172,86,42350,0.7497,1,0
1975,1,15.3272,1,2,2005,1190,82,34100,4.998,0,0
1981,1,17.4097,5,3,2006,1818,134,33550,1.4994,1,1
1983,0,11.4121,5,4,2008,1668,117,33100,9.2463,1,0
1979,0,16.7433,2,2,2011,1294,135,55050,5.5811,0,0
1970,1,12.9948,3,2,2013,1638,190,54800,4.6648,0,0
1959,1,27.8222,5,2,2012,1392,107,64450,7.4137,1,1
1995,0,4.165,9,3,2011,1342,103,56600,2.4157,2,0
1986,0,11.9952,3,4,2013,1700,164,44600,7.2471,0,0
1955,0,22.7409,9,2,2005,1632,191,35150,5.0813,2,0
1994,1,4.7481,6,4,2013,2188,141,44450,2.6656,0,1
1964,1,25.7397,4,3,2003,1210,93,33000,0.9163,1,0
1971,0,16.9099,5,3,2005,1550,105,36900,8.33,1,0
1977,1,9.2463,3,1,2013,2404,151,51750,5.5811,1,0
1993,0,7.1638,2,3,2011,1786,183,67350,3.4153,0,0
1987,0,14.4942,1,2,2013,1254,108,48000,10.1626,0,1
1975,1,14.6608,5,3,2011,1168,79,57400,4.165,0,0
1978,1,15.827,5,3,2008,1264,117,32100,10.1626,1,0
1993,0,3.7485,8,2,2012,1186,78,50250,2.2491,2,0
1994,1,6.4974,9,2,2011,1502,101,44950,3.2487,1,0
1980,0,16.9099,1,4,2012,2232,134,76100,6.0809,1,0
1986,0,12.7449,4,1,2011,2160,225,53900,9.4129,0,1
1986,1,7.4137,4,1,2012,2070,271,61550,6.9972,0,0
1973,1,3.0821,4,2,2013,1380,114,66350,0.0833,1,0
1985,0,9.2463,3,2,2011,1334,126,50550,4.4149,1,0
1991,0,5.3312,1,2,2012,1512,95,73650,1.9159,1,0
1970,0,10.4958,3,3,2002,1468,135,33700,7.9968,1,0
1971,1,26.9892,9,3,2011,1188,76,54600,9.996,0,0
1974,1,10.1626,4,2,2012,1684,127,52050,2.7489,1,0
1977,0,22.3244,1,4,2008,1644,171,36800,6.0809,0,0
1993,0,5.3312,3,4,2010,1902,178,55300,1.9992,0,0
1965,1,15.827,4,2,2011,1602,209,69250,9.3296,0,0
1978,1,18.7425,3,3,2011,1614,226,51400,7.7469,0,0
1987,0,6.2475,3,3,2007,1514,97,33750,5.1646,0,0
1993,1,7.8302,7,4,2005,1720,131,32100,5.831,1,1
1978,0,13.4113,5,3,2010,1454,97,62300,10.829,0,0
1975,0,15.9103,7,3,2012,1274,124,66900,2.8322,0,0
1978,0,13.0781,1,4,2013,2102,247,49200,11.9119,1,1
1995,0,3.0821,6,2,2013,1422,102,59200,1.8326,1,0
1990,0,10.5791,3,1,2012,1802,166,61500,10.1626,1,1
1967,1,26.4061,3,3,2006,1486,141,32350,8.4966,1,1
1968,1,7.497,1,1,2013,1894,255,59250,1.8326,0,0
1993,0,4.2483,7,1,2003,1654,234,32250,2.7489,0,1
1954,1,26.9892,3,1,2012,1648,129,67400,0.5831,0,0
1988,0,6.9972,3,3,2008,1396,108,34950,2.6656,1,0
1995,1,3.7485,3,3,2008,1188,77,33550,2.1658,0,0
1967,1,17.6596,2,2,2011,1102,100,80000,10.0793,1,0
1974,1,9.9127,9,3,2012,1358,148,61300,4.0817,1,0
1948,1,17.5763,3,3,2013,1366,140,65100,7.9968,1,0
1986,1,4.9147,4,1,2012,1930,152,41350,1.8326,2,0
1956,0,44.5655,4,2,2011,1366,111,50400,36.4021,1,0
1991,1,6.8306,4,3,2011,1248,141,55250,2.3324,2,1
1993,1,2.499,5,1,2006,1850,144,33250,0.6664,0,1
1964,1,7.1638,8,2,2007,1582,106,34100,1.8326,0,0
1979,0,13.1614,4,3,2010,1402,92,46750,5.1646,1,0
1958,0,29.5715,2,4,2009,1826,174,59550,15.3272,0,0
1975,1,16.4101,4,1,2007,1856,163,35550,9.8294,3,0
1977,1,20.4918,5,3,2012,1168,84,52950,7.3304,3,0
1995,1,3.332,8,2,2013,1378,149,63800,0.833,1,1
1983,0,15.5771,8,2,2009,1342,128,45900,6.4974,1,0
1975,1,15.0773,2,3,2003,1492,95,35300,9.9127,4,1
1977,1,16.66,3,2,2009,1178,89,49150,0.6664,1,0
1976,0,17.8262,5,4,2003,1876,131,33800,5.9143,3,1
1989,1,6.9139,4,3,2008,1412,124,31500,1.1662,4,0
1969,0,21.7413,1,4,2005,2158,162,33150,14.4942,0,0
1947,0,17.8262,1,3,2012,1220,107,63700,4.5815,3,1
1977,0,12.2451,3,4,2009,1856,174,54250,8.9131,0,0
1981,0,16.0769,9,4,2010,1962,159,51300,10.3292,1,0
1982,0,19.0757,1,4,2007,2098,311,35500,6.2475,0,0
1995,1,3.9984,3,3,2010,1614,131,57550,2.3324,1,1
1994,0,4.2483,4,3,2012,1470,133,73500,1.5827,0,0
1995,0,4.4982,6,3,2009,1336,130,67850,1.4161,2,0
1962,1,27.0725,3,1,2003,1750,140,33450,19.6588,1,0
1991,1,2.0825,2,4,2010,1840,124,66500,1.1662,2,0
1978,0,9.4962,2,4,2012,2222,168,64500,3.1654,0,0
1970,0,7.9135,2,3,2013,1492,121,63650,0.4165,1,0
1979,0,18.326,9,2,2012,1604,151,73900,10.1626,2,1
1993,1,5.2479,8,3,2012,1170,90,58650,1.2495,2,0
1962,1,16.3268,8,2,2012,1442,133,51350,8.4966,1,0
1981,1,11.5787,5,3,2010,1498,93,61400,4.4982,0,0
1988,1,3.9151,9,2,2010,1864,157,52800,2.499,1,0
1962,1,7.3304,8,2,2011,1326,128,56000,6.2475,0,0
1970,0,29.4882,4,1,2013,2118,201,56750,25.2399,1,0
1995,0,4.165,9,3,2003,1204,108,34450,3.1654,1,0
1982,1,4.7481,6,4,2008,1772,240,33100,2.0825,0,0
1980,1,1.9159,7,3,2007,2028,227,35400,0.7497,0,0
1969,0,15.6604,8,2,2010,1274,101,73300,7.4137,4,0
1969,1,28.6552,1,2,2011,1634,204,59150,10.2459,2,0
1988,0,4.6648,3,4,2011,2040,287,51950,1.1662,2,0
1976,1,12.3284,2,3,2010,1286,141,57800,1.3328,1,0
1968,1,30.1546,2,4,2010,1854,187,63750,21.9079,1,0
1988,1,4.165,7,2,2008,1876,261,37100,1.4994,2,0
1977,1,1.2495,5,3,2008,1868,209,33400,0.833,1,0
1961,1,18.0761,2,3,2013,1246,108,53500,12.2451,0,0
1994,1,6.1642,9,3,2007,1368,125,34900,2.0825,0,0
1995,1,1.0829,5,3,1998,1282,95,34300,0.2499,2,0
1987,1,9.6628,4,1,2006,1676,178,33700,4.8314,0,0
1963,1,21.1582,4,2,2011,1200,126,44600,8.2467,1,0
1985,1,16.5767,3,3,2013,1338,113,63150,9.3296,2,0
1985,0,15.4938,5,4,2008,1936,131,35900,14.5775,1,0
1959,1,30.9043,3,3,2010,1650,154,49850,27.5723,1,1
1968,1,29.988,4,3,2013,1322,94,76300,6.9972,0,0
1967,1,27.7389,3,3,2009,1630,186,71600,14.0777,1,0
1976,1,6.9972,5,2,2011,1550,127,74800,3.6652,1,0
1990,1,4.5815,3,2,2013,1374,118,59750,2.6656,1,0
1986,1,8.8298,8,4,2011,1610,128,75500,3.9151,1,0
1971,1,18.5759,4,4,2012,1722,156,47600,15.2439,1,0
1991,1,1.9159,6,4,2008,1758,166,31550,0.0833,1,0
1955,0,20.5751,1,1,2012,1714,153,69300,16.9099,2,0
1989,0,12.9948,2,2,2008,1198,92,34300,11.9952,0,0
1950,0,16.9099,6,3,2004,1342,104,33050,9.0797,0,0
1980,1,13.8278,4,3,2011,1506,116,62850,7.9135,1,1
1987,0,10.5791,8,2,2009,1238,122,55100,8.8298,1,0
1984,1,12.4117,4,2,2004,1772,199,38300,7.4137,0,0
1976,0,17.3264,9,4,2012,1688,111,54650,12.7449,0,0
1975,1,18.0761,8,4,2005,1994,129,33350,5.2479,0,1
1962,1,9.996,3,2,2008,1324,109,34500,5.5811,0,0
1950,0,7.8302,7,2,2008,1444,98,34200,6.1642,0,0
1993,1,5.0813,9,3,2013,1748,116,41250,1.4994,0,0
1972,1,6.7473,4,3,2009,1354,115,58150,5.1646,2,0
1980,1,13.8278,3,2,2011,1308,108,63100,12.2451,2,0
1973,0,0.5831,9,3,2012,1262,114,44750,0.0833,0,0
1984,0,7.9968,9,2,2011,1498,115,74000,4.0817,6,0
1973,1,13.5779,4,2,2011,1200,117,64250,8.7465,2,1
1983,1,10.3292,5,2,2012,1880,205,46550,4.9147,0,0
1992,0,2.499,4,1,2013,2006,133,63600,1.4161,1,0
1995,0,5.4978,8,2,2013,1622,158,65500,1.3328,0,0
1992,1,7.497,5,1,2005,1994,231,32600,7.4137,1,0
1970,1,25.1566,4,2,2006,1608,150,31650,14.4942,0,0
1977,0,23.4073,9,1,2009,1928,169,46900,9.4962,3,0
1993,0,5.5811,2,2,2004,1658,181,34300,4.0817,0,0
1989,1,6.5807,4,3,2011,1536,147,78700,4.3316,3,1
1991,0,7.6636,3,4,2006,2192,177,31250,3.5819,2,0
1975,1,17.2431,4,3,2010,1340,116,49050,7.9135,0,0
1975,0,11.5787,4,4,2012,1724,178,48600,1.3328,0,0
1986,1,10.9956,4,3,2012,1604,127,68300,5.0813,0,0
1955,0,32.9035,5,2,2002,1632,126,35600,22.7409,1,0
1994,1,6.0809,8,2,2010,1426,93,60950,2.8322,2,0
1995,1,6.4141,8,2,2012,1352,117,55150,3.9151,0,0
1994,0,3.2487,9,2,2011,1142,105,47700,0.9996,0,1
1972,0,25.5731,3,2,2012,1254,126,77700,7.7469,1,0
1959,1,14.2443,1,3,2010,1620,259,71150,1.8326,1,1
1961,1,32.8202,4,1,2013,2160,166,41650,27.8222,2,0
1967,1,20.7417,3,3,2012,1272,121,68000,13.2447,2,0
1990,0,6.3308,8,1,2007,2124,111,36550,4.8314,0,1
1984,0,16.5767,1,3,2005,1754,152,34550,13.5779,1,0
1987,1,7.8302,2,1,2013,1652,170,61000,6.4974,0,0
1987,1,7.9968,4,2,2010,1338,98,62800,5.3312,0,0
1985,0,10.5791,2,4,2013,1622,119,67000,1.9159,0,0
1976,1,8.4966,2,3,2013,1410,143,69900,7.9135,1,0
1994,1,6.0809,8,2,2005,1780,161,32700,4.165,1,0
1995,1,0.9163,1,3,2013,1610,192,58750,0.2499,1,0
1955,0,34.3196,8,3,2010,1312,114,66350,2.7489,0,0
1975,1,6.0809,8,2,2008,1706,119,36600,4.7481,2,0
1992,1,3.1654,3,4,2013,2116,147,48800,1.3328,2,0
1968,1,6.4974,2,2,2013,1242,126,57150,3.7485,1,1
1994,0,2.7489,9,3,2008,1160,81,35650,0.6664,0,0
1974,1,13.6612,4,2,2012,1744,144,51700,6.2475,1,0
1993,1,8.0801,8,2,2012,1394,104,51450,1.9992,1,0
1959,1,35.4025,5,3,2007,1608,138,39100,7.8302,2,1
1969,0,28.1554,1,2,2009,1204,139,55250,9.996,0,0
1964,0,24.2403,1,1,2013,1878,183,65350,16.5767,0,1
1980,1,11.1622,3,2,2008,1502,97,32000,3.1654,0,0
1986,1,8.4133,5,1,2007,1744,137,36000,4.5815,0,0
1962,0,28.8218,4,2,2011,1640,141,60800,20.2419,2,0
1965,1,17.1598,6,3,2013,1970,217,46800,7.2471,1,0
1977,0,21.8246,2,3,2008,1512,131,32000,8.8298,3,0
1961,1,24.6568,3,2,2011,1894,138,43900,2.2491,0,1
1979,1,13.4113,4,2,2008,1486,115,32100,4.6648,1,0
1964,1,3.332,3,1,2008,1996,184,31700,2.0825,1,0
1991,1,2.4157,6,4,2013,2250,120,68050,1.1662,1,1
1990,1,7.0805,8,3,2010,1400,106,54550,6.664,0,0
1995,1,4.4149,5,2,2011,1406,96,62650,0.3332,0,1
1970,1,20.825,4,2,2007,1474,117,37150,12.4117,2,0
1962,0,22.6576,8,2,2011,1882,248,52350,9.9127,0,0
1975,1,15.827,3,3,2006,1542,134,33350,5.2479,1,1
1994,1,5.2479,1,3,2012,1756,138,49050,5.2479,0,0
1963,1,17.7429,5,3,2010,1250,110,66100,9.4962,1,0
1972,1,9.996,4,3,2009,1322,140,54050,3.1654,2,0
1957,1,17.0765,5,2,2008,1616,150,30200,5.831,0,0
1977,0,15.827,9,3,2004,1458,99,33850,0,0,0
1957,0,24.6568,4,4,2011,1822,179,42350,16.1602,3,0
1964,1,4.165,2,1,2011,1872,191,40400,3.4153,1,0
1969,1,9.6628,5,1,2011,1882,176,47050,2.2491,0,0
1995,0,5.9143,9,2,2012,1516,113,56550,1.1662,1,0
1984,1,15.827,3,3,2001,1608,200,31850,6.9972,1,0
1974,1,11.5787,1,2,2003,1344,122,33650,8.4133,2,0
1975,0,23.9071,8,2,2008,1334,122,32150,6.0809,1,1
1978,1,13.9944,4,2,2007,1238,100,34650,9.2463,3,0
1963,0,33.9031,5,3,2013,1520,98,46450,7.9135,1,0
1968,1,5.7477,4,2,2012,1558,116,45700,4.0817,1,0
1974,0,15.3272,1,2,2007,1742,184,31250,0.3332,2,0
1978,1,15.5771,9,2,2012,1242,103,42700,4.6648,0,0
1982,1,6.4141,4,1,2002,1818,169,35750,3.9151,0,0
1987,0,3.2487,1,4,2013,1634,172,60200,2.2491,2,1
1972,0,16.0769,4,2,2006,1376,125,34300,8.1634,2,0
1979,1,16.5767,2,4,2013,1908,124,48900,11.9952,2,0
1989,1,3.9151,1,2,2011,1660,171,53300,2.2491,0,0
1977,1,23.0741,3,3,2013,1674,214,45750,7.8302,1,0
1968,0,23.2407,1,4,2006,1836,270,31050,21.5747,0,0
1994,0,5.4145,2,1,2012,2034,215,56750,3.2487,1,0
1995,1,1.9992,8,2,2006,1834,240,35350,0.0833,0,1
1983,1,10.4125,3,2,2007,1472,91,33450,3.332,3,0
1970,0,23.9904,2,3,2011,1734,192,59700,6.2475,0,1
1971,0,10.9123,3,1,2006,2116,214,31600,2.9988,0,0
1968,1,19.0757,4,4,2012,1846,129,58100,12.9948,1,0
1985,1,12.5783,8,2,2010,1334,94,72500,6.664,3,0
1984,1,12.0785,5,3,2007,1750,211,37350,5.2479,0,0
1962,0,9.4129,5,3,2011,1216,117,52100,5.9976,1,0
1982,0,2.8322,7,4,2012,1804,189,58750,1.9159,0,0
1972,0,24.9067,3,4,2008,1772,165,31800,9.8294,0,1
1965,1,20.1586,4,3,2009,1598,127,65250,3.1654,0,0
1975,1,11.8286,5,3,2010,1846,177,65950,5.4978,1,1
1972,0,20.1586,8,2,2011,1686,135,63900,8.9964,1,0
1980,1,17.2431,9,2,2010,1326,126,56000,13.6612,5,0
1973,1,14.4942,5,3,2011,1336,128,69500,6.5807,2,0
1991,1,7.9135,5,3,2003,1498,114,35700,5.1646,0,0
1980,1,11.3288,3,3,2013,1236,120,50300,8.0801,0,0
1986,0,6.7473,3,3,2009,1352,96,54050,4.6648,1,0
1967,0,14.9107,4,2,2013,1942,166,57800,8.9131,0,0
1979,0,17.7429,3,2,2005,1768,150,35500,9.996,1,0
1952,0,7.4137,2,2,2011,1440,111,46200,7.3304,2,0
1981,1,12.6616,2,2,2010,1224,119,64200,8.6632,0,0
1972,1,12.495,2,1,2012,1784,180,55350,7.1638,2,0
1993,0,4.4982,6,1,2013,1912,233,42400,0.1666,1,0
1988,1,7.4137,1,3,2009,1166,102,42050,3.8318,0,0
1969,1,13.1614,8,3,2013,1368,134,51300,9.4129,1,1
1984,1,5.6644,8,2,2010,1506,109,56050,0.9996,2,0
1980,1,16.4934,5,3,2006,2042,181,37600,12.4117,2,0
1973,0,16.4101,1,1,2005,1894,130,33700,11.0789,1,0
1983,1,14.0777,3,3,2009,1444,116,60050,6.4141,0,1
1959,1,12.9115,3,3,2012,1326,127,67150,10.9956,2,0
1978,0,13.9944,7,4,2013,1720,176,65950,4.5815,1,0
1978,1,15.3272,9,3,2004,1322,138,34700,12.495,0,0
1987,1,12.1618,9,3,2010,1616,151,48650,6.9139,0,0
1977,1,9.6628,2,2,2013,1360,122,61250,1.9159,1,0
1983,1,15.1606,2,3,2010,1516,123,46650,12.1618,1,0
1985,1,5.6644,2,2,2013,1278,100,73100,4.3316,2,0
1986,1,6.7473,4,4,2012,2022,212,51100,4.0817,1,0
1979,1,16.4101,2,3,2011,1156,98,49250,5.9976,0,0
1957,0,16.0769,2,2,2013,1756,218,62300,4.2483,4,0
1991,1,6.8306,4,3,2007,1494,128,35700,1.7493,4,0
1947,1,2.2491,9,4,2006,1938,203,32000,0.7497,1,0
1994,0,2.5823,9,1,2005,1878,252,30050,0.5831,1,0
1971,1,16.2435,3,3,2006,1138,86,34550,5.9143,0,0
1995,0,3.2487,9,3,2005,1296,95,32400,2.8322,1,0
1959,0,21.8246,3,2,2013,1562,119,63700,7.6636,3,0
1981,1,16.8266,5,3,2003,1870,188,38950,10.3292,3,0
1981,0,19.7421,9,3,2012,1468,109,57450,10.6624,0,0
1983,1,5.6644,9,3,2012,1654,204,62950,3.1654,1,0
1990,1,11.0789,5,3,2007,1320,120,30250,8.5799,0,1
1968,1,19.5755,8,3,2012,1682,167,53650,4.8314,0,0
1971,1,15.3272,6,3,2011,1888,173,70800,1.4994,0,0
1986,1,12.9115,9,2,2012,1658,189,50800,4.4149,3,1
1984,1,7.7469,4,3,2009,1632,212,71050,6.8306,1,0
1992,0,4.9147,2,1,2012,2028,113,59650,3.4153,2,0
1994,1,2.3324,3,2,2012,1882,198,50550,0.4165,1,0
1993,0,7.6636,3,3,2011,1614,149,57850,1.8326,0,0
1986,0,13.1614,1,1,2013,2280,147,78250,11.9952,1,0
1970,0,1.2495,2,4,2010,1948,191,50200,0.2499,0,0
1980,0,1.4161,9,3,2011,1342,109,58300,1.1662,3,0
1978,1,5.5811,3,2,2004,1860,257,31500,4.7481,0,0
1976,1,11.1622,6,2,2013,1732,142,46500,4.5815,2,0
1989,1,10.6624,5,2,2012,1776,128,55500,7.0805,2,0
1956,0,22.8242,5,3,2012,1616,142,52300,19.992,2,0
1962,1,37.485,3,2,2013,1634,113,54200,23.6572,0,0
1949,0,28.6552,9,1,2011,1910,125,66000,7.9968,0,0
1976,1,19.6588,1,3,2006,1416,97,32200,7.3304,1,0
1980,0,12.3284,5,1,2013,2212,116,54750,7.8302,1,0
1966,1,34.8194,5,2,2013,1272,101,54150,16.0769,0,1
1988,0,1.3328,5,1,2009,1804,276,61950,0.4998,1,0
1985,0,5.0813,2,2,2007,1320,146,33700,3.4986,3,0
1976,0,16.9932,2,2,2007,1466,118,31550,5.3312,1,0
1973,1,11.7453,2,3,2005,1496,121,31600,6.5807,0,0
1980,1,19.159,2,3,2005,1616,128,32500,7.9968,1,0
1987,0,7.9968,2,3,2011,1810,165,69700,5.3312,0,0
1961,0,22.491,2,4,2010,1710,129,52500,15.827,1,0
1978,0,13.328,7,3,2010,1358,135,47500,0.4998,2,0
1964,1,22.5743,2,2,2009,1498,101,51750,18.1594,1,0
1987,0,9.4129,2,2,2009,1590,113,56750,6.7473,2,1
1987,1,8.9964,2,3,2008,1168,91,33900,4.8314,2,0
1969,0,15.0773,2,3,2006,1706,213,39200,2.8322,3,0
1982,1,11.5787,4,4,2012,1976,253,59050,10.3292,0,1
1969,0,9.9127,2,1,2013,1666,152,59050,4.8314,0,0
1994,1,5.1646,7,3,2012,1322,122,53450,4.5815,1,0
1986,1,7.9135,2,2,2005,1132,81,31550,4.2483,0,0
1958,0,34.9027,7,2,2009,1534,130,47450,21.3248,0,0
1989,0,8.33,7,4,2005,1936,124,36100,5.9143,1,0
1987,0,4.2483,5,3,2012,1548,123,60600,0.3332,0,0
1986,0,6.8306,2,3,2007,1378,142,31850,3.5819,0,0
1968,1,28.4886,9,3,2007,1468,146,32200,12.2451,1,1
1984,0,13.1614,2,4,2012,1890,143,53700,12.9948,0,0
1982,0,14.6608,4,2,2013,1226,129,40300,2.2491,1,0
1964,1,35.0693,2,2,2013,1288,102,60500,19.4922,1,0
1964,1,18.4926,9,3,2013,1560,98,49300,6.1642,1,1
1967,1,6.7473,4,2,2005,1250,110,35750,4.3316,1,0
1963,1,31.9039,2,2,2012,1460,92,40500,13.4113,0,0
1984,1,9.2463,1,3,2012,1446,133,43000,1.4161,2,0
1975,1,22.7409,4,2,2007,1752,114,32700,9.163,0,1
1985,1,12.0785,8,2,2009,1248,134,61550,8.4966,1,0
1968,1,22.5743,3,3,2011,1602,200,47350,14.8274,0,1
1976,1,15.7437,2,3,2009,1192,90,55900,3.0821,0,0
1983,0,4.998,6,2,2012,1866,135,67200,2.6656,0,1
1984,0,9.0797,1,2,2009,1464,117,45400,0.4165,2,0
1961,1,23.2407,1,1,2007,1646,191,31550,1.7493,0,0
1982,0,11.0789,4,2,2005,1668,255,30150,5.2479,1,0
1987,0,14.4109,1,3,2012,1250,115,60300,8.33,1,0
1966,1,27.489,4,3,2008,1350,127,38100,21.4081,0,0
1970,0,10.4125,2,2,2009,1264,111,67300,6.5807,1,0
1986,1,4.0817,4,4,2012,1642,132,51400,2.1658,1,0
1984,1,4.4149,5,1,2012,2004,236,54050,1.4994,0,0
1971,1,9.8294,9,2,2004,1570,128,35900,4.0817,1,0
1982,0,16.4101,9,3,2006,1534,112,34200,3.4986,4,0
1969,0,15.3272,4,2,2013,1318,123,71300,1.8326,0,0
1981,1,10.5791,9,2,2007,1574,139,37200,4.8314,0,0
1977,0,19.0757,1,2,2009,1272,130,46500,8.0801,2,0
1979,1,21.4914,8,1,2004,2112,187,36100,10.6624,0,0
1980,1,9.3296,9,2,2010,1670,124,77350,1.8326,1,0
1972,1,14.5775,4,2,2012,1532,101,59000,6.3308,0,0
1983,1,14.3276,1,3,2009,1624,189,65900,7.9968,1,0
1986,0,6.3308,1,2,2010,1922,182,53050,3.9151,0,0
1971,0,18.1594,2,4,2011,2214,156,48900,15.2439,3,0
1983,1,5.7477,3,2,2010,1164,104,48700,5.5811,0,0
1987,0,13.4113,4,4,2013,2120,125,79200,3.2487,2,0
1989,0,8.4133,8,1,2013,2006,149,73850,4.3316,1,0
1979,0,11.4954,9,2,2006,1578,115,33200,8.5799,1,0
1969,1,19.6588,4,1,2007,1742,223,34000,8.9964,2,1
1979,1,16.9932,4,2,2010,1628,144,47800,5.7477,0,0
1985,0,9.2463,1,3,2005,1592,115,35250,2.9988,0,1
1982,0,5.5811,7,1,2012,1660,127,47900,3.332,0,0
1988,1,0.5831,6,1,2013,1966,158,40200,0.2499,0,1
1993,0,4.165,5,2,2012,1962,142,44850,1.1662,2,0
1991,1,9.9127,4,3,2013,1468,101,47050,7.2471,1,0
1947,1,29.155,2,2,2006,1706,120,36400,22.9075,0,1
1988,0,10.4958,1,1,2012,1770,167,53750,4.0817,0,0
1950,1,29.988,4,2,2010,1632,140,45150,20.4918,0,0
1958,0,18.9924,2,1,2012,2338,143,75900,18.9091,0,0
1971,1,18.9924,8,2,2013,1802,163,51550,12.2451,0,0
1971,1,28.1554,1,3,2010,1580,105,47950,8.8298,1,0
1965,1,24.157,4,2,2008,1356,97,30250,0.1666,0,1
1989,1,0.4165,5,4,2012,1658,147,54650,0.0833,1,0
1969,0,22.4077,3,3,2009,1666,115,67300,15.2439,1,0
1993,1,2.499,6,3,2004,1724,250,30450,0.833,2,0
1975,0,23.1574,1,3,2012,1208,100,47600,3.9151,0,0
1973,1,12.495,2,3,2008,1258,121,32950,1.3328,1,0
1989,1,10.6624,4,2,2000,1152,95,37300,8.5799,4,0
